Time,Month,Year,Drought,Zone,Plant,rep,Ammonia,ARA,Nitrate,Nitrite,pH,Salinity,Sulphide,Soil Temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Sep-03,9,2003,0,JS1,JS,1,,0,3.627,0.221,6.69,20,-1.890756303,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,JS2,JS,2,,0,4.31,0.235,6.71,30,-6.596638655,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,JS3,JS,3,,0.012646431,4.461,0.249,7.16,32,-4.579831933,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,JS4,JS,4,,0,1.547,0.292,6.8,34,0.12605042,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,JS5,JS,5,,0,2.032,0.238,7.02,25,0.798319328,25.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Sep-03,9,2003,0,JS6,JS,6,,0,1.075,0.251,7.14,26,-3.235294118,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,SAL1,SAL,1,,0.134181658,1.818,0.292,6.98,46,-5.25210084,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,SAL2,SAL,2,,0.371158049,1.293,0.269,6.45,46,-5.924369748,27.3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
Sep-03,9,2003,0,SAL3,SAL,3,,0.107686901,2.231,0.278,6.75,40,4.159663866,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,SAL4,SAL,4,,0,0.806,0.295,6.73,43,-3.235294118,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,SAL5,SAL,5,,0.338542315,0,0.229,6.47,43,-3.235294118,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,SAL6,SAL,6,,0,1.063,0.269,6.15,42,-1.218487395,27.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
Sep-03,9,2003,0,SS1,SS,1,,0,4.778,0.247,7.47,50,78.1092437,27.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
Sep-03,9,2003,0,SS2,SS,2,,0,1.225,0.216,7.33,50,130.5462185,27.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Sep-03,9,2003,0,SS3,SS,3,,0.237869162,4.357,0.285,7.28,49,104.3277311,27.0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
Sep-03,9,2003,0,SS4,SS,4,,0.094898981,1.053,0.268,6.94,48,76.76470588,27.5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Sep-03,9,2003,0,SS5,SS,5,,0,0,0.297,7.42,49,51.8907563,28.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Sep-03,9,2003,0,SS6,SS,6,,0.054535905,1.092,0.323,7.26,51,86.17647059,27.5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Sep-03,9,2003,0,S1,S,1,,0.076355343,3.075,0.207,7.2,38,418.9495798,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,S2,S,2,,0.142367311,0,0.243,7.32,37,345,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,S3,S,3,,0.326819414,3.817,0.247,7.43,38,256.2605042,26.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,S4,S,4,,0.115845641,4.755,0.354,7.38,38.1,537.9411765,27.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,S5,S,5,,0.075663272,4.005,0.207,7.25,36,724.8319328,27.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Sep-03,9,2003,0,S6,S,6,,0.422071351,2.573,0.225,7.57,37,749.7058824,26.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
Sep-03,9,2003,0,T1,T,1,,0,1.982,0.174,7.33,34,305.3361345,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,T2,T,2,,0,0.957,0.186,7,34,58.61344538,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,T3,T,3,,0,2.641,0.185,7.13,36,65.33613445,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,T4,T,4,,0,1.109,0.179,7.02,35,81.47058824,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-03,9,2003,0,T5,T,5,,0,2.077,0.156,7.16,36,266.3445378,26.5,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
Sep-03,9,2003,0,T6,T,6,,0,0.955,0.168,7.05,36,123.8235294,26.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
May-04,5,2004,1,JS1,JS,1,,,,,,,0,25.1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
May-04,5,2004,1,JS2,JS,2,,,,,,,0,25.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,JS3,JS,3,,,,,,,0,26.5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
May-04,5,2004,1,JS4,JS,4,,,,,,,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,JS5,JS,5,,,,,,,0,24.1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,JS6,JS,6,,,,,,,0,24.4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SAL1,SAL,1,,,,,,,0,28.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SAL2,SAL,2,,,,0.277,,,0,27.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SAL3,SAL,3,,,,0.293,,,0,26.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SAL4,SAL,4,,,,0.287,,,0,26.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SAL5,SAL,5,,,,0.27,,,0,26.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SAL6,SAL,6,,,,0.249,,,0,26.4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SS1,SS,1,0,0,,0.235,3.74,64,7.4,28.4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SS2,SS,2,4.544,2.254266989,,0.278,3.86,62,113.4,28.7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SS3,SS,3,0,0,,0.238,3.84,60,13.4,28.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SS4,SS,4,5.772,0,,0.251,3.62,61,21.4,28.3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SS5,SS,5,6.006,0.486179511,,0.241,3.96,56,47.4,28.7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,SS6,SS,6,6.312,0.241311062,,0.275,3.87,59,5.4,28.2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,S1,S,1,1.048,0.11485323,,0.196,4.7,40,23.4,26.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,S2,S,2,0,0,,0.222,5.62,40,29.4,25.9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,S3,S,3,2.237,0,,0.192,5.23,44,57.4,26.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,S4,S,4,3.208,0,,0.217,5.69,45,83.4,26.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,S5,S,5,1.279,0.274410928,,0.204,5.64,43,17.4,26.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,S6,S,6,0,0.120245132,,0.218,6.33,42,39.4,26.6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,T1,T,1,,0.140978098,,0.243,6.57,35,28.7,26.4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,T2,T,2,,0.158096963,,0.275,6.47,35,24.7,27.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,T3,T,3,,0.139420458,,0.191,6.35,37,20.85,25.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,T4,T,4,,0.198828733,,0.186,6.34,35,14.85,26.1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,T5,T,5,,0.146602664,,0.219,6.47,36,28.35,24.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-04,5,2004,1,T6,T,6,,0.209649156,,0.263,6.95,37,331.4,25.9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,JS1,JS,1,0,0,10.7,0.429,6.28,27,,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,JS2,JS,2,3.833,0,13.7,0.328,6.62,32,,25.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,JS3,JS,3,0,0.064857338,4.7,0.274,5.27,31,,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,JS4,JS,4,0,0,14.7,0.303,6.42,34,,26.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,JS5,JS,5,0,0.083290909,14.7,0.429,6.68,30,,25.7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,JS6,JS,6,0,0,3.7,0.282,6.57,25,,25.9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SAL1,SAL,1,0,3.500012504,0,0.373,5.4,50,,27.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SAL2,SAL,2,0,1.256214933,10.7,0.35,5.27,50,,27.4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SAL3,SAL,3,0,2.359022795,0,0.354,6.02,46,,27.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SAL4,SAL,4,0,1.403360181,6.7,0.36,5.83,50,,27.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SAL5,SAL,5,2.106,3.646041324,7.7,0.343,5.68,43,,27.2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SAL6,SAL,6,0,0.536498274,13.7,0.329,4.17,46,,27.6,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SS1,SS,1,0,0.121012341,34.7,0.276,4.23,55,0,26.8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SS2,SS,2,0,0,15.7,0.307,5.32,60,0,26.8,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SS3,SS,3,0,0.179367155,10.7,0.321,6.33,59,70.04545455,26.8,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SS4,SS,4,0.571,0.244594701,24.7,0.304,5.01,54,11.40909091,26.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SS5,SS,5,0,0.154988827,24.7,0.272,5.61,66,0,26.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,SS6,SS,6,3.382,0,29.7,1.483,6.04,66,0,26.7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,S1,S,1,0,0.111880405,44.7,0.262,6.5,37,16.40909091,26.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,S2,S,2,0,0.119745865,0,0.252,7.09,33,,26.4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,S3,S,3,0,0.121988993,32.7,0.263,6.78,38,,26.4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,S4,S,4,0,0.387907027,16.7,0.25,6.58,44,,26.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,S5,S,5,0,0.205522837,34.7,0.959,7.15,34,,26.4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,S6,S,6,0,0.122284623,0,0.641,7.36,35,,26.3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,T1,T,1,0,0.116351477,0,0.216,7.24,28,,26.6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,T2,T,2,0,0.126599395,0,0.211,7.24,28,,26.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,T3,T,3,0,0.138669325,0,0.212,7.24,29,,26.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,T4,T,4,0,0.154122478,0,0.201,7.34,27,,26.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,T5,T,5,0,0.121928706,0,0.204,7.5,25,,26.7,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-04,8,2004,0,T6,T,6,0,0.14619941,11.7,0.216,7.24,26,,26.6,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
